,Player,Mat,Inn,NO,Runs,Avg,100,50
0,SR Tendulkar (INDIA),200,329.0,33.0,15921.0,53.78,51.0,68.0
1,RT Ponting (AUS),168,287.0,29.0,13378.0,51.85,41.0,62.0
2,JH Kallis (ICC/SA),166,280.0,40.0,13289.0,55.37,45.0,58.0
3,R Dravid (ICC/INDIA),164,286.0,32.0,13288.0,52.31,36.0,63.0
4,AN Cook (ENG),161,291.0,16.0,12472.0,45.35,33.0,57.0
5,KC Sangakkara (SL),134,233.0,17.0,12400.0,57.4,38.0,52.0
6,BC Lara (ICC/WI),131,232.0,6.0,11953.0,52.88,34.0,48.0
7,S Chanderpaul (WI),164,280.0,49.0,11867.0,51.37,30.0,66.0
8,DPMD Jayawardene (SL),149,252.0,15.0,11814.0,49.84,34.0,50.0
9,AR Border (AUS),156,265.0,44.0,11174.0,50.56,27.0,63.0
10,SR Waugh (AUS),168,260.0,46.0,10927.0,51.06,32.0,50.0
11,SM Gavaskar (INDIA),125,214.0,16.0,10122.0,51.12,34.0,45.0
12,Younis Khan (PAK),118,213.0,19.0,10099.0,52.05,34.0,33.0
13,HM Amla (SA),124,215.0,16.0,9282.0,46.64,28.0,41.0
14,GC Smith (ICC/SA),117,205.0,13.0,9265.0,48.25,27.0,38.0
15,GA Gooch (ENG),118,215.0,6.0,8900.0,42.58,20.0,46.0
16,Javed Miandad (PAK),124,189.0,21.0,8832.0,52.57,23.0,43.0
17,Inzamam-ul-Haq (ICC/PAK),120,200.0,22.0,8830.0,49.6,25.0,46.0
18,VVS Laxman (INDIA),134,225.0,34.0,8781.0,45.97,17.0,56.0
19,AB de Villiers (SA),114,191.0,18.0,8765.0,50.66,22.0,46.0
20,MJ Clarke (AUS),115,198.0,22.0,8643.0,49.1,28.0,27.0
21,ML Hayden (AUS),103,184.0,14.0,8625.0,50.73,30.0,29.0
22,V Sehwag (ICC/INDIA),104,180.0,6.0,8586.0,49.34,23.0,32.0
23,IVA Richards (WI),121,182.0,12.0,8540.0,50.23,24.0,45.0
24,AJ Stewart (ENG),133,235.0,21.0,8463.0,39.54,15.0,45.0
25,DI Gower (ENG),117,204.0,18.0,8231.0,44.25,18.0,39.0
26,KP Pietersen (ENG),104,181.0,8.0,8181.0,47.28,23.0,35.0
27,G Boycott (ENG),108,193.0,23.0,8114.0,47.72,22.0,42.0
28,GS Sobers (WI),93,160.0,21.0,8032.0,57.78,26.0,30.0
29,ME Waugh (AUS),128,209.0,17.0,8029.0,41.81,20.0,47.0
30,MA Atherton (ENG),115,212.0,7.0,7728.0,37.69,16.0,46.0
31,IR Bell (ENG),118,205.0,24.0,7727.0,42.69,22.0,46.0
32,JL Langer (AUS),105,182.0,12.0,7696.0,45.27,23.0,30.0
33,MC Cowdrey (ENG),114,188.0,15.0,7624.0,44.06,22.0,38.0
34,CG Greenidge (WI),108,185.0,16.0,7558.0,44.72,19.0,34.0
35,Mohammad Yousuf (PAK),90,156.0,12.0,7530.0,52.29,24.0,33.0
36,MA Taylor (AUS),104,186.0,13.0,7525.0,43.49,19.0,40.0
37,CH Lloyd (WI),110,175.0,14.0,7515.0,46.67,19.0,39.0
38,DL Haynes (WI),116,202.0,25.0,7487.0,42.29,18.0,39.0
39,DC Boon (AUS),107,190.0,20.0,7422.0,43.65,21.0,32.0
40,JE Root (ENG),89,164.0,12.0,7359.0,48.41,17.0,45.0
41,G Kirsten (SA),101,176.0,15.0,7289.0,45.27,21.0,34.0
42,WR Hammond (ENG),85,140.0,16.0,7249.0,58.45,22.0,24.0
43,CH Gayle (WI),103,182.0,11.0,7214.0,42.18,15.0,37.0
44,SC Ganguly (INDIA),113,188.0,17.0,7212.0,42.17,16.0,35.0
