,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
0,SR Tendulkar (INDIA),200,329.0,33.0,15921.0,53.78,51.0,68.0,34.8679962666202,1
1,JH Kallis (ICC/SA),166,280.0,40.0,13289.0,55.37,45.0,58.0,31.013710596483484,1
2,RT Ponting (AUS),168,287.0,29.0,13378.0,51.85,41.0,62.0,30.164810453208705,1
3,R Dravid (ICC/INDIA),164,286.0,32.0,13288.0,52.31,36.0,63.0,29.71797546422433,1
4,S Chanderpaul (WI),164,280.0,49.0,11867.0,51.37,30.0,66.0,28.454886518698487,1
5,KC Sangakkara (SL),134,233.0,17.0,12400.0,57.4,38.0,52.0,28.111456037536595,1
6,Abid Ali (PAK),2,3.0,1.0,321.0,160.5,2.0,0.0,27.755924517792224,1
7,AR Border (AUS),156,265.0,44.0,11174.0,50.56,27.0,63.0,26.837418780944937,1
8,AN Cook (ENG),161,291.0,16.0,12472.0,45.35,33.0,57.0,26.549253418062253,1
9,SR Waugh (AUS),168,260.0,46.0,10927.0,51.06,32.0,50.0,26.192676701793708,1
10,DPMD Jayawardene (SL),149,252.0,15.0,11814.0,49.84,34.0,50.0,25.86249808125394,1
11,BC Lara (ICC/WI),131,232.0,6.0,11953.0,52.88,34.0,48.0,25.781591998930733,1
12,DG Bradman (AUS),52,80.0,10.0,6996.0,99.94,29.0,13.0,25.667928502223436,1
13,KR Patterson (AUS),2,2.0,1.0,144.0,144.0,1.0,0.0,24.1246153580794,1
14,SM Gavaskar (INDIA),125,214.0,16.0,10122.0,51.12,34.0,45.0,23.861633979855366,1
15,Younis Khan (PAK),118,213.0,19.0,10099.0,52.05,34.0,33.0,22.83853319354044,1
16,Inzamam-ul-Haq (ICC/PAK),120,200.0,22.0,8830.0,49.6,25.0,46.0,21.654808572217007,1
17,Javed Miandad (PAK),124,189.0,21.0,8832.0,52.57,23.0,43.0,21.623255869058667,1
18,VVS Laxman (INDIA),134,225.0,34.0,8781.0,45.97,17.0,56.0,21.595752510330676,1
19,HM Amla (SA),124,215.0,16.0,9282.0,46.64,28.0,41.0,21.308848029100403,1
20,AB de Villiers (SA),114,191.0,18.0,8765.0,50.66,22.0,46.0,21.23124823544684,1
21,IVA Richards (WI),121,182.0,12.0,8540.0,50.23,24.0,45.0,20.979401711376564,1
22,GC Smith (ICC/SA),117,205.0,13.0,9265.0,48.25,27.0,38.0,20.967021898125267,1
23,GS Sobers (WI),93,160.0,21.0,8032.0,57.78,26.0,30.0,20.592522682898284,1
24,SPD Smith (AUS),72,130.0,16.0,7164.0,62.84,26.0,28.0,20.203664479669225,1
25,ML Hayden (AUS),103,184.0,14.0,8625.0,50.73,30.0,29.0,20.157533335613312,1
26,G Boycott (ENG),108,193.0,23.0,8114.0,47.72,22.0,42.0,19.878541645715714,1
27,MJ Clarke (AUS),115,198.0,22.0,8643.0,49.1,28.0,27.0,19.849634166945034,1
28,GA Gooch (ENG),118,215.0,6.0,8900.0,42.58,20.0,46.0,19.52828464639824,1
29,IR Bell (ENG),118,205.0,24.0,7727.0,42.69,22.0,46.0,19.255306925925403,1
30,KF Barrington (ENG),82,131.0,15.0,6806.0,58.67,20.0,35.0,19.191677581823676,1
31,ME Waugh (AUS),128,209.0,17.0,8029.0,41.81,20.0,47.0,19.146368694842018,1
32,V Sehwag (ICC/INDIA),104,180.0,6.0,8586.0,49.34,23.0,32.0,19.126407065554677,1
33,PP Shaw (INDIA),2,3.0,1.0,237.0,118.5,1.0,1.0,19.058529656280786,1
34,Mohammad Yousuf (PAK),90,156.0,12.0,7530.0,52.29,24.0,33.0,18.949673243401353,1
35,GS Chappell (AUS),87,151.0,19.0,7110.0,53.86,24.0,31.0,18.84963721690271,1
36,KP Pietersen (ENG),104,181.0,8.0,8181.0,47.28,23.0,35.0,18.787679434005305,1
37,WR Hammond (ENG),85,140.0,16.0,7249.0,58.45,22.0,24.0,18.748719883239197,1
38,L Hutton (ENG),79,138.0,15.0,6971.0,56.67,19.0,33.0,18.629831401466813,1
39,AJ Stewart (ENG),133,235.0,21.0,8463.0,39.54,15.0,45.0,18.62269397455086,1
40,DI Gower (ENG),117,204.0,18.0,8231.0,44.25,18.0,39.0,18.607123598488343,1
41,JE Root (ENG),89,164.0,12.0,7359.0,48.41,17.0,45.0,18.48461656988857,1
42,V Kohli (INDIA),84,141.0,10.0,7202.0,54.97,27.0,22.0,18.2819033967691,1
43,MC Cowdrey (ENG),114,188.0,15.0,7624.0,44.06,22.0,38.0,18.265583115655183,1
44,CH Lloyd (WI),110,175.0,14.0,7515.0,46.67,19.0,39.0,18.258452361396266,1
45,DL Haynes (WI),116,202.0,25.0,7487.0,42.29,18.0,39.0,17.826781924603175,1
46,MA Taylor (AUS),104,186.0,13.0,7525.0,43.49,19.0,40.0,17.76567586991818,1
47,JL Langer (AUS),105,182.0,12.0,7696.0,45.27,23.0,30.0,17.67316810698928,1
48,CG Greenidge (WI),108,185.0,16.0,7558.0,44.72,19.0,34.0,17.537481757771907,1
49,G Kirsten (SA),101,176.0,15.0,7289.0,45.27,21.0,34.0,17.512579386946356,1
50,AG Ganteaume (WI),1,1.0,0.0,112.0,112.0,1.0,0.0,17.49190734887275,1
51,DC Boon (AUS),107,190.0,20.0,7422.0,43.65,21.0,32.0,17.397631439821716,1
52,LRPL Taylor (NZ),98,173.0,20.0,7130.0,46.6,19.0,33.0,17.380214596565125,1
53,MA Atherton (ENG),115,212.0,7.0,7728.0,37.69,16.0,46.0,17.254416429402678,1
54,GP Thorpe (ENG),100,179.0,28.0,6744.0,44.66,16.0,39.0,17.216676477196238,1
55,DA Warner (AUS),83,153.0,6.0,7088.0,48.21,23.0,30.0,17.19483788581939,1
56,KS Williamson (NZ),78,137.0,13.0,6379.0,51.44,21.0,31.0,17.153902395477903,1
57,MEK Hussey (AUS),79,137.0,16.0,6235.0,51.52,19.0,29.0,16.715024242359117,1
58,SC Ganguly (INDIA),113,188.0,17.0,7212.0,42.17,16.0,35.0,16.64355787856325,1
59,DB Vengsarkar (INDIA),116,185.0,22.0,6868.0,42.13,17.0,35.0,16.62100314827152,1
60,CH Gayle (WI),103,182.0,11.0,7214.0,42.18,15.0,37.0,16.43630823438626,1
61,SP Fleming (NZ),111,189.0,10.0,7172.0,40.06,9.0,46.0,16.297681994412734,1
62,JB Hobbs (ENG),61,102.0,7.0,5410.0,56.94,15.0,28.0,15.947911245369399,1
63,DCS Compton (ENG),78,131.0,15.0,5807.0,50.06,17.0,28.0,15.704841071392439,1
64,RN Harvey (AUS),79,137.0,10.0,6149.0,48.41,21.0,24.0,15.651137795128903,1
65,AJ Strauss (ENG),100,178.0,6.0,7037.0,40.91,21.0,27.0,15.611832781936652,1
66,H Sutcliffe (ENG),54,84.0,9.0,4555.0,60.73,16.0,23.0,15.552240131617628,1
67,ST Jayasuriya (SL),110,188.0,14.0,6973.0,40.07,14.0,31.0,15.344936358151543,1
68,AC Gilchrist (AUS),96,137.0,20.0,5570.0,47.6,17.0,26.0,15.201522615355973,1
69,TT Samaraweera (SL),81,132.0,20.0,5462.0,48.76,14.0,30.0,15.198430037124247,1
70,KD Walters (AUS),74,125.0,14.0,5357.0,48.26,15.0,33.0,15.168042915708307,1
71,RB Kanhai (WI),79,137.0,6.0,6227.0,47.53,15.0,28.0,15.131122075476192,1
72,M Azharuddin (INDIA),99,147.0,9.0,6215.0,45.03,22.0,21.0,15.126795298865042,1
73,CA Pujara (INDIA),75,124.0,8.0,5740.0,49.48,18.0,24.0,15.017998026080871,1
74,Misbah-ul-Haq (PAK),75,132.0,20.0,5222.0,46.62,10.0,39.0,14.956462355331253,1
75,Saleem Malik (PAK),103,154.0,22.0,5768.0,43.69,15.0,29.0,14.902039912979433,1
76,GR Viswanath (INDIA),91,155.0,10.0,6080.0,41.93,14.0,35.0,14.872663655487452,1
77,MN Nawaz (SL),1,2.0,1.0,99.0,99.0,0.0,1.0,14.826270546865805,1
78,PA de Silva (SL),93,159.0,11.0,6361.0,42.97,20.0,22.0,14.786586457481896,1
79,RB Richardson (WI),86,146.0,12.0,5949.0,44.39,16.0,27.0,14.623137349620768,1
80,Azhar Ali (PAK),77,146.0,8.0,5885.0,42.64,16.0,31.0,14.447365500913701,1
81,AD Mathews (SL),84,151.0,21.0,5704.0,43.87,9.0,34.0,14.437162669738786,1
82,ED Weekes (WI),48,81.0,5.0,4455.0,58.61,15.0,19.0,14.370073714847376,1
